epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
179,132.106,0.91021,0.4618,0.84973,0.98182,0.94964,0.97948,0.68367,1.01879,0.44265,0.86943,0.0002378,0.0002378,0.0002378
180,132.796,0.90332,0.45498,0.84785,0.98078,0.95165,0.97959,0.68634,1.0118,0.44717,0.86639,0.0002279,0.0002279,0.0002279
181,133.489,1.01111,0.4759,0.84948,0.98101,0.95165,0.97953,0.68528,1.02054,0.44497,0.86923,0.000218,0.000218,0.000218
182,134.195,0.95859,0.48173,0.84403,0.96697,0.96516,0.97967,0.6711,1.05954,0.44885,0.8787,0.0002081,0.0002081,0.0002081
183,135.191,0.92302,0.46999,0.86597,0.97066,0.96703,0.97975,0.6713,1.06294,0.44818,0.87988,0.0001982,0.0001982,0.0001982
184,135.902,0.92037,0.46912,0.86638,0.97008,0.96923,0.98039,0.68101,1.0223,0.43836,0.86992,0.0001883,0.0001883,0.0001883
185,136.569,0.92418,0.51884,0.8574,0.9648,0.96382,0.97081,0.68203,1.009,0.43537,0.86572,0.0001784,0.0001784,0.0001784
186,137.264,0.92679,0.46261,0.84184,0.96487,0.96584,0.97093,0.68302,1.01599,0.44205,0.86454,0.0001685,0.0001685,0.0001685
187,137.958,0.96367,0.46419,0.85754,0.96489,0.96637,0.97097,0.68319,1.01787,0.4413,0.86532,0.0001586,0.0001586,0.0001586
188,138.724,0.9033,0.44765,0.85271,0.97148,0.97329,0.98129,0.68155,1.02207,0.4395,0.86732,0.0001487,0.0001487,0.0001487
189,139.48,0.954,0.46527,0.84439,0.97144,0.97167,0.98122,0.68275,1.023,0.43889,0.8678,0.0001388,0.0001388,0.0001388
190,140.261,0.92632,0.4522,0.85421,0.97287,0.96923,0.98114,0.68777,1.02117,0.43797,0.86713,0.0001289,0.0001289,0.0001289
191,143.434,0.86608,0.4488,0.85704,0.97337,0.96416,0.98114,0.68688,1.01682,0.44003,0.86575,0.000119,0.000119,0.000119
192,144.337,0.89987,0.4419,0.83699,0.97566,0.96909,0.98082,0.68647,1.02621,0.44177,0.8659,0.0001091,0.0001091,0.0001091
193,145.068,0.89223,0.44836,0.84861,0.97257,0.96923,0.98093,0.68492,1.02763,0.44151,0.86691,9.92e-05,9.92e-05,9.92e-05
194,145.894,0.86659,0.42574,0.85457,0.97149,0.96923,0.98115,0.68778,1.02534,0.43887,0.86569,8.93e-05,8.93e-05,8.93e-05
195,146.668,0.81165,0.43035,0.84601,0.97156,0.96923,0.98118,0.68979,1.02008,0.43589,0.86493,7.94e-05,7.94e-05,7.94e-05
196,147.368,0.94039,0.46355,0.85101,0.97148,0.97363,0.98141,0.68868,1.0216,0.43757,0.86702,6.95e-05,6.95e-05,6.95e-05
197,148.046,0.86539,0.42843,0.84241,0.97095,0.97363,0.98131,0.68878,1.02225,0.43602,0.86763,5.96e-05,5.96e-05,5.96e-05
198,148.732,0.91748,0.44642,0.83963,0.97352,0.96944,0.98108,0.68626,1.02049,0.43734,0.86692,4.97e-05,4.97e-05,4.97e-05
199,149.396,0.89758,0.45219,0.8662,0.97352,0.96956,0.98114,0.68691,1.01883,0.4361,0.86639,3.98e-05,3.98e-05,3.98e-05
200,150.099,0.91827,0.44609,0.86512,0.9712,0.96703,0.9807,0.68992,1.01989,0.43618,0.8657,2.99e-05,2.99e-05,2.99e-05
