epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
42,32.7417,1.26673,0.6914,0.90653,0.95932,0.93299,0.97026,0.64164,1.11017,0.76756,0.87938,0.0015941,0.0015941,0.0015941
43,33.456,1.26931,0.6799,0.88808,0.95429,0.91763,0.96343,0.60949,1.21863,0.75871,0.91716,0.0015842,0.0015842,0.0015842
44,34.181,1.24717,0.66696,0.90673,0.93688,0.91648,0.95431,0.60978,1.14615,0.71044,0.89556,0.0015743,0.0015743,0.0015743
45,34.8785,1.27446,0.68404,0.9148,0.92132,0.87503,0.9414,0.61861,1.09447,0.77844,0.88478,0.0015644,0.0015644,0.0015644
46,35.5909,1.26935,0.72062,0.91692,0.96422,0.82918,0.93633,0.61691,1.15663,0.87787,0.90705,0.0015545,0.0015545,0.0015545
47,36.2759,1.26951,0.67832,0.91103,0.90809,0.8034,0.89318,0.57244,1.19227,0.97772,0.91209,0.0015446,0.0015446,0.0015446
48,36.9815,1.27085,0.676,0.90426,0.95577,0.80729,0.92422,0.61662,1.13073,0.93495,0.89624,0.0015347,0.0015347,0.0015347
49,37.6839,1.24605,0.65545,0.885,0.96606,0.87577,0.95818,0.63238,1.12454,0.79256,0.89206,0.0015248,0.0015248,0.0015248
50,38.3762,1.20129,0.63287,0.88327,0.96194,0.91209,0.96709,0.62234,1.17616,0.6341,0.89818,0.0015149,0.0015149,0.0015149
51,39.3568,1.24496,0.6717,0.93053,0.95409,0.92088,0.9597,0.61729,1.15899,0.60539,0.89182,0.001505,0.001505,0.001505
52,40.0717,1.18489,0.62571,0.87547,0.95795,0.9512,0.97865,0.65066,1.10171,0.6072,0.88199,0.0014951,0.0014951,0.0014951
53,40.7942,1.2533,0.64969,0.8965,0.95351,0.94654,0.97186,0.63347,1.13508,0.63103,0.8828,0.0014852,0.0014852,0.0014852
54,41.4922,1.15147,0.60435,0.87977,0.94905,0.94156,0.97079,0.63,1.13003,0.6009,0.89579,0.0014753,0.0014753,0.0014753
55,42.1889,1.22414,0.67853,0.89527,0.96814,0.93513,0.97308,0.62788,1.17342,0.59573,0.91104,0.0014654,0.0014654,0.0014654
56,42.9175,1.18632,0.62777,0.92338,0.96809,0.93187,0.96681,0.64708,1.08403,0.57698,0.88182,0.0014555,0.0014555,0.0014555
57,43.6173,1.27668,0.64961,0.87472,0.96193,0.94286,0.96923,0.63235,1.13095,0.5972,0.88923,0.0014456,0.0014456,0.0014456
58,44.327,1.21884,0.62868,0.91659,0.94882,0.93713,0.96022,0.63734,1.09253,0.62646,0.88224,0.0014357,0.0014357,0.0014357
59,45.012,1.22271,0.63237,0.88448,0.95578,0.91868,0.95462,0.62536,1.14007,0.59658,0.89014,0.0014258,0.0014258,0.0014258
60,45.723,1.29866,0.63058,0.90668,0.96952,0.90989,0.96057,0.62346,1.1807,0.61183,0.90742,0.0014159,0.0014159,0.0014159
61,46.419,1.156,0.6241,0.87561,0.94456,0.89862,0.9554,0.5777,1.30018,0.66629,0.93579,0.001406,0.001406,0.001406
62,47.1323,1.2419,0.64024,0.8951,0.93444,0.92088,0.95083,0.62496,1.13859,0.64097,0.88996,0.0013961,0.0013961,0.0013961
63,47.8377,1.17893,0.63937,0.88473,0.93574,0.92805,0.96249,0.63114,1.14161,0.62038,0.89347,0.0013862,0.0013862,0.0013862
64,48.5491,1.30849,0.7049,0.87401,0.93127,0.92322,0.95325,0.60743,1.17663,0.62664,0.90842,0.0013763,0.0013763,0.0013763
65,49.2463,1.17491,0.60775,0.87383,0.90743,0.92642,0.94318,0.61077,1.11324,0.65771,0.89281,0.0013664,0.0013664,0.0013664
